lith_word_studied,eng_word_studied,participant_id,delay_group,study1_start,study2_start,study3_start,study4_start,study5_start,jol_start,recall_start,jol_value,eng_word_response,recall_accuracy,study_test_lag
arbata,tea,H49,H,1491840557,1491841252,1491841977,1491842647,1491843218,1491843842,1492447098,100,tea,1,10064.66667
smuikas,violin,H49,H,1491840573,1491841268,1491841951,1491842613,1491843244,1491843846,1492447114,95,violin,1,10064.5
burna,mouth,H49,H,1491840589,1491841365,1491842035,1491842712,1491843333,1491843862,1492447125,96,unsure,0,10063.2
daina,song,H49,H,1491840599,1491841349,1491842005,1491842698,1491843321,1491843876,1492447232,100,song,1,10065.18333
zele,jelly,H49,H,1491840616,1491841333,1491842062,1491842662,1491843306,1491843873,1492447121,92,jelly,1,10063.58333
kriaukle,sink,H49,H,1491840626,1491841317,1491842045,1491842672,1491843278,1491843865,1492447226,61,sink,1,10065.8
kamuolys,ball,H49,H,1491840636,1491841301,1491842019,1491842684,1491843292,1491843859,1492447237,80,ball,1,10065.75
gelezis,iron,H49,H,1491840646,1491841438,1491842134,1491842770,1491843399,1491843879,1492447252,77,iron,1,10064.21667
kardas,sword,H49,H,1491840662,1491841377,1491842124,1491842787,1491843389,1491843892,1492447257,97,sword,1,10064.46667
tiltas,bridge,H49,H,1491840676,1491841422,1491842094,1491842754,1491843347,1491843888,1492447260,90,bridge,1,10065.21667
smegenys,brain,H49,H,1491840686,1491841406,1491842110,1491842740,1491843373,1491843885,1492447243,97,brain,1,10064.5
sesuo,sister,H49,H,1491840702,1491841391,1491842078,1491842724,1491843361,1491843882,1492447240,90,sister,1,10064.65
padazas,gravy,H49,H,1491840718,1491841448,1491842171,1491842799,1491843452,1491843908,1492447383,88,shoe,0,10065.51667
plyta,brick,H49,H,1491840731,1491841476,1491842154,1491842831,1491843468,1491843895,1492447266,88,brick,1,10063.3
lova,bed,H49,H,1491840743,1491841496,1491842185,1491842843,1491843411,1491843899,1492447263,94,bed,1,10064.2
upe,river,H49,H,1491840757,1491841462,1491842144,1491842819,1491843423,1491843906,1492447378,86,river,1,10065.91667
kirvis,axe,H49,H,1491840767,1491841486,1491842199,1491842809,1491843439,1491843902,1492447276,73,tool,0,10063.95
kunigas,priest,H49,H,1491840781,1491841555,1491842219,1491842916,1491843506,1491843914,1492447390,97,priest,1,10064.73333
knyga,book,H49,H,1491840797,1491841533,1491842209,1491842871,1491843518,1491843917,1492447393,90,book,1,10064.58333
varpas,bell,H49,H,1491840807,1491841521,1491842229,1491842888,1491843530,1491843922,1492447407,84,bell,1,10064.61667
miestas,city,H49,H,1491840821,1491841510,1491842243,1491842855,1491843480,1491843920,1492447401,94,city,1,10065.35
lietus,rain,H49,H,1491840835,1491841543,1491842253,1491842902,1491843490,1491843911,1492447396,87,rain,1,10065.1
batas,shoe,H49,H,1491840850,1491841579,1491842298,1491842964,1491843544,1491843933,1492447498,91,shoe,1,10065.9
karalius,king,H49,H,1491840866,1491841619,1491842314,1491842926,1491843577,1491843931,1492447506,91,king,1,10065.48333
akis,eye,H49,H,1491840878,1491841605,1491842286,1491842974,1491843555,1491843936,1492447521,87,eye,1,10066.1
masina,car,H49,H,1491840890,1491841595,1491842328,1491842954,1491843591,1491843925,1492447513,95,car,1,10065.36667
pinigine,wallet,H49,H,1491840902,1491841569,1491842269,1491842938,1491843567,1491843927,1492447517,88,wallet,1,10065.83333
laikrodis,clock,H49,H,1491840912,1491841648,1491842366,1491843037,1491843653,1491843949,1492447533,84,clock,1,10064.66667
laiptelis,stair,H49,H,1491840924,1491841634,1491842356,1491842986,1491843623,1491843939,1492447525,87,stair,1,10065.03333
